sku,mfgn,qty,qtynj,qtyfl,price,map,mrp
62036,150510,0,0,0,47.32,,
62037,150525,0,0,0,107.02,,
62040,E70305,0,0,0,98.00,,
62043,7879CR,0,0,0,35.17,,
62044,5262CRR,0,0,0,23.83,,
62050,001-122-870-10,0,0,0,445.45,,
62054,7010CAWBX,3,3,0,99.21,119.00,
62055,7010CABBX,1,1,0,99.21,119.00,
62061,41970,9,7,2,42.97,,
62062,41951,1,1,0,23.19,,
62066,58355,10,6,4,40.97,,
62067,58357,7,2,5,40.97,,
62079,"NF-4 WHITE",7,4,3,26.99,,
62084,3154,0,0,0,18.63,,26.98
62085,3130,9,3,6,9.63,,14.98
62087,YBP-5100,3,3,0,19.94,,28.98
62088,120,0,0,0,11.89,,16.98
62089,975,0,0,0,35.33,,49.98
62090,2461,5,3,2,41.79,,59.98
62091,2462,10,10,0,41.79,,59.98
62092,2402,11,11,0,8.63,,11.98
62093,2403,2,2,0,8.63,,11.98
62094,2404,0,0,0,8.63,,11.98
62095,YBP-0301,0,0,0,12.21,,17.98
62096,YBP-0305,0,0,0,12.21,,17.98
62097,YBP-0701,1,0,1,14.77,,19.98
62098,YBP-0801,0,0,0,11.63,,16.98
62099,273,0,0,0,6.97,,10.33
62100,134,23,7,16,7.13,,9.98
62102,760H,6,0,6,8.51,,12.98
62103,833H,0,0,0,10.27,,15.98
62104,855H,0,0,0,12.53,,18.98
62131,MC0075-9002,11,8,3,43.42,,
62132,MC0075-9001,0,0,0,52.88,,
62135,1480,0,0,0,452.91,,
62151,RH5999-9001,14,9,5,16.03,,
62168,DRS6AX,1,1,0,3640.95,,4495.00
62189,31631-0092,7,4,3,142.75,,
62194,2061-5,16,11,5,8.36,,
62198,ZIDIGIK,1,1,0,214.99,,
62200,2130,18,3,15,4.00,,
62201,2132,86,31,55,4.00,,
62203,2133,59,15,44,4.00,,
62204,2134,86,16,70,4.00,,
62232,RA5204WH,4,2,2,96.15,,
62237,T234,0,0,0,237.49,,
62243,56580,3,0,3,72.38,,
62244,53700,14,7,7,60.97,119.99,
62246,53710,26,11,15,60.97,119.99,
62247,53715,10,5,5,60.97,119.99,
62248,53720,10,6,4,60.97,119.99,
62249,53725,12,4,8,60.97,119.99,
62250,53730,12,6,6,60.97,119.99,
62251,53735,24,20,4,60.97,119.99,
62252,53740,7,3,4,60.97,119.99,
62253,53745,10,6,4,60.97,119.99,
62254,53750,0,0,0,60.97,119.99,
62261,A80371,9,4,5,17.03,,
62262,A80372,3,3,0,17.03,,
62266,13515,8,8,0,46.69,,
62278,ENP-REMOTE,1,1,0,129.99,,
62284,1368831,1,1,0,2535.87,,
62299,1358748,25,11,14,687.43,,
62304,1358763,71,33,38,774.67,,
62318,RODE38,2,1,1,243.00,,
62319,RODE51,1,1,0,432.00,,
62320,RODE52,2,1,1,333.60,,
62322,RODE53,1,0,1,418.20,,
62328,"18753-0178  ",7,5,2,45.30,,
62332,0420-BK,5,5,0,21.75,,
62336,010-11251-44,0,0,0,21.99,,
62368,1358958,1,0,1,2660.11,,
62370,1358968,1,1,0,2608.18,,
62379,001-325-990-00,0,0,0,554.55,,
62388,1854035,15,9,6,53.36,,
62389,1862051,0,0,0,57.16,,
62390,1866070,0,0,0,79.91,,
62392,1866550,0,0,0,133.62,,
62393,1866650,0,0,0,245.59,,
